Date,Open,High,Low,Close,Adj Close,Volume,Day
5/20/2014,172.860001,172.880005,171.410004,171.789993,144.285645,669400,55
5/21/2014,172.360001,173.369995,172.309998,173.279999,145.537064,991300,56
5/22/2014,173.350006,174.059998,173.059998,173.75,145.931839,859000,57
5/23/2014,173.910004,174.539993,173.820007,174.470001,146.536545,613900,58
5/27/2014,175.089996,175.550003,175,175.5,147.401657,890000,59
5/28/2014,175.520004,175.789993,175.089996,175.320007,147.250458,990900,60
5/29/2014,175.820007,176.320007,175.369995,176.320007,148.090347,541000,61
5/30/2014,176.160004,176.690002,175.979996,176.550003,148.283524,874700,62
6/2/2014,176.830002,176.850006,175.940002,176.789993,148.485092,1620200,63
6/3/2014,176.350006,176.789993,176.220001,176.679993,148.39267,1252900,64
6/4/2014,176.369995,177.149994,176.199997,177,148.661499,984900,65
6/5/2014,177.240005,178.380005,176.630005,178.199997,149.669357,853600,66
6/6/2014,178.619995,179.089996,178.520004,179.050003,150.383286,586800,67
6/9/2014,179.039993,179.690002,178.869995,179.229996,150.534424,461800,68
6/10/2014,179.029999,179.300003,178.660004,179.270004,150.568054,959900,69
6/11/2014,178.639999,178.820007,178.25,178.690002,150.080902,558100,70
6/12/2014,178.419998,178.520004,176.979996,177.360001,148.963852,891400,71
6/13/2014,177.729996,178.070007,177.169998,177.919998,149.434235,731200,72
6/16/2014,177.690002,178.410004,177.5,178.070007,149.560165,756700,73
6/17/2014,177.830002,178.679993,177.630005,178.539993,149.95488,2934400,74
6/18/2014,178.589996,179.970001,178.169998,179.869995,151.07196,501900,75
6/19/2014,180.039993,180.210007,179.509995,180.089996,151.25676,746900,76
6/20/2014,180.509995,180.570007,180.25,180.449997,151.559097,830300,77
6/23/2014,179.699997,179.729996,179.270004,179.559998,151.490753,737700,78
6/24/2014,179.289993,180.139999,178.309998,178.5,150.596497,391700,79
6/25/2014,178.139999,179.490005,178.130005,179.259995,151.237701,586000,80
6/26/2014,179.360001,179.380005,177.979996,179.169998,151.161728,676800,81
6/27/2014,178.789993,179.559998,178.690002,179.479996,151.423325,1032300,82
6/30/2014,179.429993,179.820007,179.279999,179.429993,151.381119,1261200,83
7/1/2014,179.880005,181.190002,179.830002,180.690002,152.444138,1199000,84
7/2/2014,180.669998,181.029999,180.570007,180.820007,152.553802,511500,85
7/3/2014,181.309998,181.779999,181.199997,181.729996,153.321533,327900,86
7/7/2014,181.380005,181.5,180.839996,181.139999,152.823776,1151800,87
7/8/2014,180.770004,180.820007,179.5,179.970001,151.836685,749400,88
7/9/2014,180.360001,180.880005,180,180.720001,152.469482,930300,89
7/10/2014,179.009995,180.470001,178.839996,180.029999,151.887314,614600,90
7/11/2014,179.940002,180.360001,179.509995,180.270004,152.089783,520400,91
